Category,Section/Topic,Requirement or Standard,Compliance/Ready Standard,Approved Wording or Legal Source,Responsible Party (Inferred),Source
Article 11 - Nuisances,Sec. 609(g) - Vector Control And Healthy Housing Inspection Program Fee Subsection,"For Hotel Fees due on or after March 31, 2026, the Hotel Fees set",Must comply with section provisions.,SF Health Code Sec. 609(g),Owner/Responsible Party,120
Article 11 - Nuisances,Sec. 609.1(a) - Reinspection Fee Authorized Subsection,If an inspection discloses a violation of any provision of this Code,Must comply with section provisions.,SF Health Code Sec. 609.1(a),Owner/Responsible Party,121
Article 11 - Nuisances,Sec. 609.1(b) - Reinspection Fee Authorized Subsection,"Except as provided in subsection (c), the owner shall pay a fee in the",Must comply with section provisions.,SF Health Code Sec. 609.1(b),Owner,122
Article 11 - Nuisances,Sec. 609.1(c) - Reinspection Fee Authorized Subsection,The Vector Control and Healthy Housing Fee shall cover the cost of,Must comply with section provisions.,SF Health Code Sec. 609.1(c),Owner/Responsible Party,123
Article 11 - Nuisances,Sec. 616(a) - Disclaimer Of Liability Subsection,The degree of protection required by this Article is considered,Must comply with section provisions.,SF Health Code Sec. 616(a),Owner/Responsible Party,124
Article 11 - Nuisances,Sec. 616(b) - Disclaimer Of Liability Subsection,"In undertaking the implementation of this Article, the City and County",Must comply with section provisions.,SF Health Code Sec. 616(b),Owner/Responsible Party,125
Article 11 - Nuisances,Sec. 616(c) - Disclaimer Of Liability Subsection,"Except as otherwise required by State or federal law, all inspection",Must comply with section provisions.,SF Health Code Sec. 616(c),Owner/Responsible Party,126
Article 11 - Nuisances,Sec. 620(a) - Findings Subsection,"Tenants, property owners and Pest Control Operators (""PCO"") have",Must comply with section provisions.,SF Health Code Sec. 620(a),Owner,127
Article 11 - Nuisances,Sec. 620(b) - Findings Subsection,"Effective abatement is more likely to occur when tenants, property",Must comply with section provisions.,SF Health Code Sec. 620(b),Owner/Responsible Party,128
Article 11 - Nuisances,Sec. 620(c) - Findings Subsection,Female bed bugs can produce over 500 eggs in a lifetime and,Must comply with section provisions.,SF Health Code Sec. 620(c),Owner/Responsible Party,129
Article 11 - Nuisances,Sec. 620(d) - Findings Subsection,"Bed bug egg mortality is very low, with approximately 97% of the bed",Must comply with section provisions.,SF Health Code Sec. 620(d),Owner/Responsible Party,130
Article 11 - Nuisances,Sec. 620(e) - Findings Subsection,Bed bug infestations may go unnoticed for 6 months or more due to,Must comply with section provisions.,SF Health Code Sec. 620(e),Owner/Responsible Party,131
Article 11 - Nuisances,Sec. 620(f) - Findings Subsection,Bed bugs can live up to 18 months and effective abatement can require,Must comply with section provisions.,SF Health Code Sec. 620(f),Owner/Responsible Party,132
Article 11 - Nuisances,Sec. 620(g) - Findings Subsection,"The City and County of San Francisco (""City"") identifies bed bug",Must comply with section provisions.,SF Health Code Sec. 620(g),Owner/Responsible Party,133
Article 11 - Nuisances,Sec. 620(h) - Findings Subsection,A prevalence of bed bug infestations exist in San Francisco,Must comply with section provisions.,SF Health Code Sec. 620(h),Owner/Responsible Party,134
Article 11 - Nuisances,Sec. 620(i) - Findings Subsection,"Bed bugs cannot be solely abated by members of the public, and travel",Must comply with section provisions.,SF Health Code Sec. 620(i),Owner/Responsible Party,135
Article 11 - Nuisances,Sec. 620(j) - Findings Subsection,Bed bug infestations spread more quickly in densely populated areas.,Must comply with section provisions.,SF Health Code Sec. 620(j),Owner/Responsible Party,136
Article 11 - Nuisances,Sec. 620(k) - Findings Subsection,Tenants have an interest in the bed bug history of potential rental,Must comply with section provisions.,SF Health Code Sec. 620(k),Owner/Responsible Party,137
Article 11 - Nuisances,Sec. 620(l) - Findings Subsection,All involved parties have interest in certifying that bed bug,Must comply with section provisions.,SF Health Code Sec. 620(l),Owner/Responsible Party,138
Article 11 - Nuisances,Sec. 620(m) - Findings Subsection,The true number of bed bug infestations in the City is unknown to the,Must comply with section provisions.,SF Health Code Sec. 620(m),Owner/Responsible Party,139
Article 11 - Nuisances,Sec. 620(n) - Findings Subsection,Bed bug infestations negatively impact the mental and emotional health,Must comply with section provisions.,SF Health Code Sec. 620(n),Owner/Responsible Party,140
Article 11 - Nuisances,Sec. 620(o) - Findings Subsection,"Bed bug infestations require considerable time, effort and money to",Must comply with section provisions.,SF Health Code Sec. 620(o),Owner/Responsible Party,141
Article 11 - Nuisances,Sec. 620(p) - Findings Subsection,San Francisco has a high percentage of low-income residents who are,Must comply with section provisions.,SF Health Code Sec. 620(p),Owner/Responsible Party,142
Article 11 - Nuisances,Sec. 620(q) - Findings Subsection,Increased media attention on bed bug infestations potentially,Must comply with section provisions.,SF Health Code Sec. 620(q),Owner/Responsible Party,143
Article 11 - Nuisances,Sec. 620(r) - Findings Subsection,"Abatement costs can be expensive, and strict enforcement is required",Must comply with section provisions.,SF Health Code Sec. 620(r),Owner/Responsible Party,144
Article 11 - Nuisances,"Sec. 621(a) - Bed Bug Infestation Prevention, Treatment, Disclosure, And Reporting Subsection","The Department of Public Health (""DPH"") shall create, and distribute,",Must comply with section provisions.,SF Health Code Sec. 621(a),Department,145
Article 11 - Nuisances,"Sec. 621(b) - Bed Bug Infestation Prevention, Treatment, Disclosure, And Reporting Subsection","The DPH Environmental Health Section (""DPH-EHS"") shall, in",Must comply with section provisions.,SF Health Code Sec. 621(b),Owner/Responsible Party,146
Article 11 - Nuisances,"Sec. 621(c) - Bed Bug Infestation Prevention, Treatment, Disclosure, And Reporting Subsection",Property owners and managers shall investigate bed bug infestation,Must comply with section provisions.,SF Health Code Sec. 621(c),Owner,147
Article 11 - Nuisances,"Sec. 621(d) - Bed Bug Infestation Prevention, Treatment, Disclosure, And Reporting Subsection","With the exception of tourist hotels, at the request of a prospective",Must comply with section provisions.,SF Health Code Sec. 621(d),Owner/Responsible Party,148
Article 11 - Nuisances,"Sec. 621(e) - Bed Bug Infestation Prevention, Treatment, Disclosure, And Reporting Subsection","Whenever the DPH Director, or her/his designee, issues a notice of",Must comply with section provisions.,SF Health Code Sec. 621(e),Department,149
Article 11 - Nuisances,"Sec. 621(f) - Bed Bug Infestation Prevention, Treatment, Disclosure, And Reporting Subsection","DPH-EHS shall, on the first day of each month, collect monthly reports",Must comply with section provisions.,SF Health Code Sec. 621(f),Owner/Responsible Party,150
Article 11 - Nuisances,"Sec. 621(g) - Bed Bug Infestation Prevention, Treatment, Disclosure, And Reporting Subsection",DPH-EHS shall produce reports aggregating data and showing historical,Must comply with section provisions.,SF Health Code Sec. 621(g),Owner/Responsible Party,151
Article 11 - Nuisances,Sec. 622 - Enforcement,Refer to full code text.,Must comply with section provisions.,SF Health Code Sec. 622,Owner/Responsible Party,152
Article 11 - Nuisances,Sec. 623 - Penalties,Refer to full code text.,Must comply with section provisions.,SF Health Code Sec. 623,Owner/Responsible Party,153
Article 11 - Nuisances,Sec. 624(a) - Review And Amendment Of The Rules And Regulations For The Prevention Subsection,The Health Department shall conduct a biannual public hearing to,Must comply with section provisions.,SF Health Code Sec. 624(a),Department,154
Article 11 - Nuisances,Sec. 624(b) - Review And Amendment Of The Rules And Regulations For The Prevention Subsection,"Interested parties, including, but not limited to, tenants, property",Must comply with section provisions.,SF Health Code Sec. 624(b),Owner/Responsible Party,155
Article 11 - Nuisances,Sec. 624(c) - Review And Amendment Of The Rules And Regulations For The Prevention Subsection,A public hearing or meeting noticed under this Section,Must comply with section provisions.,SF Health Code Sec. 624(c),Owner/Responsible Party,156
Article 11 - Nuisances,Sec. 625.1 - Name Of Ordinance,Refer to full code text.,Must comply with section provisions.,SF Health Code Sec. 625.1,Owner/Responsible Party,157
Article 11 - Nuisances,Sec. 625.2 - Definitions,Refer to full code text.,Must comply with section provisions.,SF Health Code Sec. 625.2,Owner/Responsible Party,158
Article 11 - Nuisances,Sec. 625.3(a) - Cleaning Standards For Covered Establishments Subsection,"Each Operator shall establish, implement, and maintain written",Must comply with section provisions.,SF Health Code Sec. 625.3(a),Owner/Responsible Party,159
Article 11 - Nuisances,Sec. 625.3(b) - Cleaning Standards For Covered Establishments Subsection,Hand washing stations shall be provided on every floor of the Covered,Must comply with section provisions.,SF Health Code Sec. 625.3(b),Owner/Responsible Party,160
Article 11 - Nuisances,Sec. 625.3(c) - Cleaning Standards For Covered Establishments Subsection,Disinfectant. The cleaning and disease prevention standards,Must comply with section provisions.,SF Health Code Sec. 625.3(c),Owner/Responsible Party,161
Article 11 - Nuisances,Sec. 625.3(d) - Cleaning Standards For Covered Establishments Subsection,"High-contact areas, items, and fixtures. The cleaning and disease",Must comply with section provisions.,SF Health Code Sec. 625.3(d),Owner/Responsible Party,162
Article 11 - Nuisances,Sec. 625.3(e) - Cleaning Standards For Covered Establishments Subsection,"Regular cleaning and disinfection. The following high-contact areas,",Must comply with section provisions.,SF Health Code Sec. 625.3(e),Owner/Responsible Party,163
Article 11 - Nuisances,Sec. 625.3(e(1)) - Cleaning Standards For Covered Establishments Subsection,Public and Employee areas. All Frequently Touched surfaces in,Must comply with section provisions.,SF Health Code Sec. 625.3(e(1)),Owner/Responsible Party,164
Article 11 - Nuisances,Sec. 625.3(e(2)) - Cleaning Standards For Covered Establishments Subsection,"Elevators. All Frequently Touched surfaces, internal and external,",Must comply with section provisions.,SF Health Code Sec. 625.3(e(2)),Owner/Responsible Party,165
Article 11 - Nuisances,Sec. 625.3(e(3)) - Cleaning Standards For Covered Establishments Subsection,"Stairways, stairwells, and escalators. All Frequently Touched",Must comply with section provisions.,SF Health Code Sec. 625.3(e(3)),Owner/Responsible Party,166
Article 11 - Nuisances,Sec. 625.3(e(4)) - Cleaning Standards For Covered Establishments Subsection,"Restrooms. All Frequently Touched surfaces, fixtures, and",Must comply with section provisions.,SF Health Code Sec. 625.3(e(4)),Owner/Responsible Party,167
Article 11 - Nuisances,Sec. 625.3(e(5)) - Cleaning Standards For Covered Establishments Subsection,Meeting rooms. All Frequently Touched surfaces and objects in,Must comply with section provisions.,SF Health Code Sec. 625.3(e(5)),Owner/Responsible Party,168
Article 11 - Nuisances,Sec. 625.3(e(6)) - Cleaning Standards For Covered Establishments Subsection,Multi-use instruments and items. Instruments and other items used,Must comply with section provisions.,SF Health Code Sec. 625.3(e(6)),Owner/Responsible Party,169
Article 11 - Nuisances,Sec. 625.3(e(7)) - Cleaning Standards For Covered Establishments Subsection,"Doors. Doors and door handles at all exterior entrances, and door",Must comply with section provisions.,SF Health Code Sec. 625.3(e(7)),Owner/Responsible Party,170
Article 11 - Nuisances,Sec. 625.3(e(8)) - Cleaning Standards For Covered Establishments Subsection,Dining and bar facilities. All Frequently Touched surfaces and,Must comply with section provisions.,SF Health Code Sec. 625.3(e(8)),Owner/Responsible Party,171
Article 11 - Nuisances,Sec. 625.3(e(9)) - Cleaning Standards For Covered Establishments Subsection,Shipping and receiving areas. All Frequently Touched surfaces and,Must comply with section provisions.,SF Health Code Sec. 625.3(e(9)),Owner/Responsible Party,172
Article 11 - Nuisances,Sec. 625.3(f) - Cleaning Standards For Covered Establishments Subsection,"Tourist Hotels. In addition to the requirements of subsection (e),",Must comply with section provisions.,SF Health Code Sec. 625.3(f),Owner/Responsible Party,173
Article 11 - Nuisances,Sec. 625.3(f(1)) - Cleaning Standards For Covered Establishments Subsection,"All surfaces, items, and furnishings in Tourist Hotel guest rooms",Must comply with section provisions.,SF Health Code Sec. 625.3(f(1)),Owner/Responsible Party,174
Article 11 - Nuisances,Sec. 625.3(f(2)) - Cleaning Standards For Covered Establishments Subsection,"Towels, bed linens, bed scarves, and bedspreads shall be changed",Must comply with section provisions.,SF Health Code Sec. 625.3(f(2)),Owner/Responsible Party,175
Article 11 - Nuisances,Sec. 625.3(f(3)) - Cleaning Standards For Covered Establishments Subsection,Hand sanitizer dispensers shall be installed in main entrances and,Must comply with section provisions.,SF Health Code Sec. 625.3(f(3)),Owner/Responsible Party,176
Article 11 - Nuisances,Sec. 625.3(f(4)) - Cleaning Standards For Covered Establishments Subsection,Restrooms in occupied Tourist Hotel guest rooms shall be cleaned,Must comply with section provisions.,SF Health Code Sec. 625.3(f(4)),Owner/Responsible Party,177
Article 11 - Nuisances,Sec. 625.3(f(5)) - Cleaning Standards For Covered Establishments Subsection,If there is a reasonable basis to believe that a specific guest,Must comply with section provisions.,SF Health Code Sec. 625.3(f(5)),Owner/Responsible Party,178
Article 11 - Nuisances,Sec. 625.3(f(6)) - Cleaning Standards For Covered Establishments Subsection,"A Tourist Hotel may not advise, nor may it offer any incentive, of",Must comply with section provisions.,SF Health Code Sec. 625.3(f(6)),Owner/Responsible Party,179
Article 11 - Nuisances,Sec. 625.3(g) - Cleaning Standards For Covered Establishments Subsection,Posting of cleaning and disease prevention standards. Copies of the,Must comply with section provisions.,SF Health Code Sec. 625.3(g),Owner/Responsible Party,180
Article 11 - Nuisances,Sec. 625.3(h) - Cleaning Standards For Covered Establishments Subsection,All Operators shall maintain a compliance log of all cleaning and,Must comply with section provisions.,SF Health Code Sec. 625.3(h),Owner/Responsible Party,181
Article 11 - Nuisances,Sec. 625.3(i) - Cleaning Standards For Covered Establishments Subsection,Guidance of public health authorities. Any other relevant guidance,Must comply with section provisions.,SF Health Code Sec. 625.3(i),Owner/Responsible Party,182
Article 11 - Nuisances,"Sec. 625.4(a) - Employee Protections, Training, And Non-Interference With Protected Subsection",Employee protections.,Must comply with section provisions.,SF Health Code Sec. 625.4(a),Owner/Responsible Party,183
Article 11 - Nuisances,"Sec. 625.4(a(1)) - Employee Protections, Training, And Non-Interference With Protected Subsection",Employees shall be provided with personal hand sanitizers effective,Must comply with section provisions.,SF Health Code Sec. 625.4(a(1)),Owner/Responsible Party,184
Article 11 - Nuisances,"Sec. 625.4(a(2)) - Employee Protections, Training, And Non-Interference With Protected Subsection","Employees shall be provided with face coverings, gloves, and all",Must comply with section provisions.,SF Health Code Sec. 625.4(a(2)),Owner/Responsible Party,185
Article 11 - Nuisances,"Sec. 625.4(a(3)) - Employee Protections, Training, And Non-Interference With Protected Subsection","Items, clothing, and equipment that have been used by an Employee",Must comply with section provisions.,SF Health Code Sec. 625.4(a(3)),Owner/Responsible Party,186
Article 11 - Nuisances,"Sec. 625.4(a(4)) - Employee Protections, Training, And Non-Interference With Protected Subsection",Employees shall be given adequate time during their work hours to,Must comply with section provisions.,SF Health Code Sec. 625.4(a(4)),Owner/Responsible Party,187
Article 11 - Nuisances,"Sec. 625.4(a(5)) - Employee Protections, Training, And Non-Interference With Protected Subsection",If the Department recommends that Employees undergo testing for,Must comply with section provisions.,SF Health Code Sec. 625.4(a(5)),Department,188
Article 11 - Nuisances,"Sec. 625.4(b) - Employee Protections, Training, And Non-Interference With Protected Subsection",Employee Training. For all Employees assigned cleaning and/or,Must comply with section provisions.,SF Health Code Sec. 625.4(b),Owner/Responsible Party,189
Article 11 - Nuisances,"Sec. 625.4(c) - Employee Protections, Training, And Non-Interference With Protected Subsection","No Operator or Covered Establishment or other person shall discharge,",Must comply with section provisions.,SF Health Code Sec. 625.4(c),Owner/Responsible Party,190
Article 11 - Nuisances,"Sec. 625.4(d) - Employee Protections, Training, And Non-Interference With Protected Subsection","No Operator, Covered Establishment, or any other person shall take any",Must comply with section provisions.,SF Health Code Sec. 625.4(d),Owner/Responsible Party,191
Article 11 - Nuisances,"Sec. 625.4(e) - Employee Protections, Training, And Non-Interference With Protected Subsection","No Operator, Covered Establishment, or other person shall take any",Must comply with section provisions.,SF Health Code Sec. 625.4(e),Owner/Responsible Party,192
Article 11 - Nuisances,"Sec. 625.4(f) - Employee Protections, Training, And Non-Interference With Protected Subsection","No Operator, Covered Establishment, or other person shall interfere",Must comply with section provisions.,SF Health Code Sec. 625.4(f),Owner/Responsible Party,193
Article 11 - Nuisances,"Sec. 625.4(g) - Employee Protections, Training, And Non-Interference With Protected Subsection",Protections of this Section,Must comply with section provisions.,SF Health Code Sec. 625.4(g),Owner/Responsible Party,194
Article 11 - Nuisances,"Sec. 625.4(h) - Employee Protections, Training, And Non-Interference With Protected Subsection",This Section,Must comply with section provisions.,SF Health Code Sec. 625.4(h),Owner/Responsible Party,195
Article 11 - Nuisances,Sec. 625.5(a) - Enforcement Subsection,As stated in Health Code Section,Must comply with section provisions.,SF Health Code Sec. 625.5(a),Owner/Responsible Party,196
Article 11 - Nuisances,Sec. 625.5(b) - Enforcement Subsection,The Department shall have authority to enforce Section,Must comply with section provisions.,SF Health Code Sec. 625.5(b),Department,197
Article 11 - Nuisances,Sec. 625.5(c) - Enforcement Subsection,Any Employee or former Employee may bring a civil action in the San,Must comply with section provisions.,SF Health Code Sec. 625.5(c),Owner/Responsible Party,198
Article 11 - Nuisances,Sec. 625.5(c(1)) - Enforcement Subsection,"All actual damages (including, but not limited to, lost pay and",Must comply with section provisions.,SF Health Code Sec. 625.5(c(1)),Owner/Responsible Party,199
Article 11 - Nuisances,Sec. 625.5(c(2)) - Enforcement Subsection,"Exemplary damages, as authorized under California Civil Code",Must comply with section provisions.,SF Health Code Sec. 625.5(c(2)),Owner/Responsible Party,200
Article 11 - Nuisances,Sec. 625.5(c(3)) - Enforcement Subsection,The court shall award reasonable attorneys' fees and costs to an,Must comply with section provisions.,SF Health Code Sec. 625.5(c(3)),Owner/Responsible Party,201
Article 11 - Nuisances,Sec. 625.5(d) - Enforcement Subsection,Nothing in this Article,Must comply with section provisions.,SF Health Code Sec. 625.5(d),Owner/Responsible Party,202
Article 11 - Nuisances,Sec. 625.6 - Undertaking For The General Welfare,Refer to full code text.,Must comply with section provisions.,SF Health Code Sec. 625.6,Owner/Responsible Party,203
Article 11 - Nuisances,Sec. 625.7 - Severability,Refer to full code text.,Must comply with section provisions.,SF Health Code Sec. 625.7,Owner/Responsible Party,204
